Decision1;Rationale1;Decision2;Rationale2;Relationship;Alpha
Honour ext and classifier on @Grabbed dependencies;We currently honour type, but ignore ext. <iden> doesnt make a distinction between the two so a Grab that specifies both type and ext but with different values is considered to be an error.;Disallow all extensions in actuator endpoints (except .json);Along with the recent change in <iden> to use content-disposition inline (which prevents the download), it also makes sense to limit the extensions allowed by the actuator endpoints. Really there *is* no extension for these endpoints, but since all of them explicitly produce JSON we can add .json for browsers as a convenience in case the app would otherwise choose to send XML. Fixes <issue_link>;Contradicts;0.741779625415802
Fix  <file_name>  javadoc;Fix;Remove unfixable <iden> ;unfixable;Contradicts;0.9576429128646851
Fix  <file_name>  javadoc;Fix;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.64076167345047
Fix  <file_name>  javadoc;Fix;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.8779550194740295
Fix exec-maven-plugin configuration issue;fixes <issue_link>;Remove unfixable <iden> ;unfixable;Contradicts;0.8079891800880432
Improve <iden> support naming;support naming;Remove unfixable <iden> ;unfixable;Contradicts;0.6598736643791199
Improve <iden> support naming;support naming;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.6068311333656311
Update Building reference documentation section;to make it work with `full` Maven profile.;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.5684948563575745
Add a missing io.spring.dependency-management in doc  ;Closes <pr_link>;Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Contradicts;0.5062291026115417
Remove unfixable <iden> ;unfixable;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.9174032807350159
Remove spring-data-commons  ;Remove direct reference to spring-data-commons, instead favoring transitive dependency;Add missing dependency;missing;Contradicts;0.7737323641777039
Extract auto-configuration from <file_name>;specific auto-configuration, allowing <iden> to be used without <file_name> if required;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5296329259872437
Apply consistent formatting, drop JDK 8 support, and cleanup repo locations to use spring.io.  ;Polish, consistent formatting, drop JDK 8 support, cleanup repo locations to use spring.io.  ;Rename samples to smoke tests;Closes the <issue_link>;Contradicts;0.5898690223693848
Apply consistent formatting, drop JDK 8 support, and cleanup repo locations to use spring.io.  ;Polish, consistent formatting, drop JDK 8 support, cleanup repo locations to use spring.io.  ;Prepend without replacing in <file_name>  ;It was incorrect to simply replace existing instances because you cant tell from the instance which media types and java types it supports. This fix just prepends the custom converters so they get higher priority.;Contradicts;0.5195972919464111
Disallow all extensions in actuator endpoints (except .json);Along with the recent change in <iden> to use content-disposition inline (which prevents the download), it also makes sense to limit the extensions allowed by the actuator endpoints. Really there *is* no extension for these endpoints, but since all of them explicitly produce JSON we can add .json for browsers as a convenience in case the app would otherwise choose to send XML. Fixes <issue_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5485406517982483
Add /error to ignored paths for security autoconfig;Protecting /error doesnt make a great deal of sense and if it is protected you dont get the ErrorPageFilter for the attempt at loading it, so Tomcat renders its own HTML error page;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5565654635429382
Fix typo a -> an  ;Fix typo;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.5235020518302917
Add group property to <file_name>;See <pr_link>;Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Contradicts;0.5589422583580017
Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Fix tests;Fix;Contradicts;0.5131003856658936
Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Extract logic for duplicate file removal so it can be shared between <iden> and Gradle plugins. Also fixed bug in recursive scanning logic. Really fixes <issue_link>;can be shared, fixed bug, fixes;Contradicts;0.6246344447135925
Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Contradicts;0.5012717247009277
Fix <iden> deprecation <enter> See <pr_link>  ;deprecation;Fix test;Fix;Contradicts;0.6170696020126343
Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Add <iden> for <iden>  ;<iden> is exposed via server.servletPath.;Contradicts;0.5867770314216614
Remove undefined <iden> appender from basic log4j config <enter> Fixes <issue_link> ;Fixes <issue_link>;Update <file_name>, Replace line break with missing line fold, Closes <pr_link>;to continue the property value;Contradicts;0.6772451996803284
Add test for nested properties;test for nested properties;Update Spring <iden> auto-configuration so that `<iden>` from `<iden>` is implicitly applied.;Prior to this commit `<iden>` interfaces would only get picked up if `<iden>` was added alongside with the `@SpringBootApplication`.;Contradicts;0.6173155903816223
